dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,8,0.133,2.110025054931641,0.07840935727345179,0,0,0.0,0.0,0.0,0.3243000000452412,4234640,408.3781999999587,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,9,0.463,1.910771026611328,0.3997857247298176,0,0,0.0,0.0,0.0,0.31029999996690094,4234640,405.1870000000122,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,10,0.526,1.7644674072265625,0.47048798321888874,0,0,0.0,0.0,0.0,0.28550000001814624,4234640,397.00570000002244,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,11,0.613,1.6061978454589845,0.5460504564741766,0,0,0.0,0.0,0.0,0.46630000002778615,4234640,408.767800000021,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,12,0.561,1.5362607116699218,0.5104307953253325,0,0,0.0,0.0,0.0,0.30850000001692024,4234640,405.11739999999463,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,13,0.535,1.4613184509277344,0.4603530318928858,0,0,0.0,0.0,0.0,0.4263000000150896,4234640,400.6327999999826,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,14,0.625,1.3017208557128905,0.5683122505525257,0,0,0.0,0.0,0.0,0.2820000000269829,4234640,422.56059999999707,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,15,0.588,1.2948483276367186,0.5546510640844846,0,0,0.0,0.0,0.0,0.2800000000320324,4234640,409.6320999999534,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,16,0.636,1.1994705505371093,0.6036905222423479,0,0,0.0,0.0,0.0,0.3166000000192071,4234640,411.6437999999789,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,17,0.682,1.1122942810058594,0.6215736313991339,0,0,0.0,0.0,0.0,0.3560000000106811,4234640,405.43519999999944,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,18,0.685,1.0646266479492188,0.643267919877738,0,0,0.0,0.0,0.0,0.2665999999749147,4234640,405.46949999998105,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,19,0.733,0.9973137512207031,0.7009466536599944,0,0,0.0,0.0,0.0,0.35260000004200265,4234640,410.57189999997945,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,20,0.626,1.144509033203125,0.580126862880941,0,0,0.0,0.0,0.0,0.3151999999886357,4234640,403.1014999999911,2142,32,600,0,0,0
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,1,0.11,2.2972138671875,0.021561882705537768,0,2,0.0,0.25,17.43999999996504,12.081099999988965,4239760,439.42779999997583,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,2,0.28,2.3008743896484374,0.15694278188555466,0,2,0.0,0.25,19.170200000019122,10.368900000003123,4239760,437.39390000001777,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,3,0.208,2.315842041015625,0.08746394860130269,0,2,0.0,0.25,17.91549999995823,9.50879999999188,4239760,430.1170999999613,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,4,0.227,2.3100355834960937,0.13082166911911483,0,2,0.0,0.25,18.173600000011447,10.464500000011867,4239760,463.0452000000105,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,5,0.329,2.2839647827148437,0.18985771760947162,0,2,0.0,0.25,18.454499999961627,9.96340000000373,4239760,438.23900000001004,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,6,0.316,2.2288809814453123,0.2202835384892911,0,2,0.0,0.25,17.85890000002155,12.066600000025574,4239760,436.58049999999093,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,7,0.219,2.1643399963378904,0.1601461533494628,1,1,0.5,0.125,20.330199999989418,10.313300000007075,4239760,436.08030000001463,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,8,0.384,2.073665588378906,0.3192511676172357,0,2,0.0,0.25,16.282799999999042,9.555499999976291,4239760,428.77300000003515,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,9,0.406,2.0156162719726565,0.34064466654353354,0,2,0.0,0.25,17.42130000002362,11.76399999997102,4239760,428.76030000002174,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,10,0.399,1.8897955932617188,0.32108070346044726,1,1,0.5,0.125,19.21709999999166,11.359900000002199,4239760,442.40059999998493,2142,32,600,46800,69120,1440
